"","County Name","State","Land area","Total population","Percent of population aged 18-34","Percent of the population 65 or older","Number of active physicians","Number of hospital beds","Total serious crimes","Percent high school graduates","Percent bachelor¡¯s degree","Percent below poverty level","Percent unemployment","Per capita income","Total personal income","Geographic region"
"249","Barnstable","MA",396,186605,22.1,22,336,384,7441,88.4,28.1,5.8,11.1,23267,4342,"NE"
"154","Kane","IL",521,317471,27.8,9.3,473,1263,16721,77.7,21.4,5,7.5,21684,6884,"NC"
"302","Bibb","GA",250,149967,27.5,12.9,438,1010,12701,68.2,17,15.9,4.1,17548,2632,"S"
"369","New_Hanover","NC",199,120284,29,12.5,297,554,11892,78.1,21.2,9.9,5.9,17119,2059,"S"
"127","Sonoma","CA",1576,388222,25.8,13.4,840,798,18556,84.4,24.5,5.2,5.7,22055,8562,"W"
"214","Boulder","CO",743,225339,34.2,7.6,452,387,14124,91.3,42.1,5.6,3.5,21421,4827,"W"
"157","Orange","NY",816,307647,28,10.4,479,986,10975,77.2,19.5,6.4,6.7,19788,6088,"NE"
"309","Penobscot","ME",3396,146601,30,11.5,268,598,4749,79.1,17.7,9.5,8,15521,2275,"NE"
"24","Tarrant","TX",864,1170103,32.2,8.3,1677,3672,132495,79.9,24,8.2,6.6,18825,22027,"S"
"71","Jackson","MO",605,633232,28.1,13.1,1695,3762,61760,79.5,20,9.8,6.5,18611,11785,"NC"
"228","Saginaw","MI",809,211946,25.5,12,335,1193,16190,74.8,13,14.7,8.8,16904,3583,"NC"
"342","Sussex","NJ",521,130943,26.3,8.9,133,261,3174,85.1,24.9,2.5,6.8,24405,3196,"NE"
"385","Jackson","MS",727,115243,25.9,9.4,170,346,4777,74.4,14.4,14,7.1,13475,1553,"S"
"328","Williamson","TX",1124,139551,29.1,7.6,88,185,5724,81.4,24.6,7.6,3.8,14934,2084,"S"
"420","Clay","FL",601,105986,26.3,8.5,164,277,4560,81.2,17.9,5.4,5.9,16029,1699,"S"
"175","Dakota","MN",570,275227,30.6,6.4,201,283,10953,90.7,27.6,3.3,4.7,21123,5814,"NC"
"215","Atlantic","NJ",561,224327,29,14.5,379,990,25167,72.9,16.4,6.4,8.3,24035,5392,"NE"
"425","Strafford","NH",369,104233,34.8,10.7,139,237,3651,79.8,21.7,5.1,6.5,17182,1791,"NE"
"180","Rockland","NY",174,265475,25.5,10.1,931,745,7194,83.3,33,4.1,5.3,26757,7103,"NE"
"41","Bergen","NJ",234,825380,25.4,15.3,3226,2279,28521,81.6,31.7,2.7,5.2,32230,26602,"NE"
"210","Trumbull","OH",616,227813,23.9,14.4,225,925,7315,75.2,11.4,9.4,7.9,16144,3678,"NC"
"168","Washtenaw","MI",710,282937,39.5,7.5,2188,1730,19367,87.2,41.9,6.4,6,22782,6446,"NC"
"379","Macon","IL",581,117206,24.1,14.5,171,725,6103,76.2,14.8,9.8,8.9,18021,2112,"NC"
"265","Racine","WI",333,175034,26,12,234,532,11110,76.4,16.5,7.9,6.5,18426,3225,"NC"
"402","Washington","RI",333,110006,31,12.3,162,241,3838,82.8,29.1,3.7,6.7,19449,2140,"NE"
"170","Ingham","MI",559,281912,37.4,8.7,729,1438,17337,83.9,29.2,11,6.9,17458,4922,"NC"
"351","Whatcom","WA",2120,127780,28.8,12.5,203,214,7070,83.2,22,7.4,6.3,16002,2045,"W"
"88","Summit","OH",413,514990,26.8,13.8,1216,2226,26228,78.3,19.7,9.5,6,18583,9570,"NC"
"323","Kenton","KY",163,142031,28.3,11.5,263,733,6925,74.4,17,8.2,5.4,16935,2405,"S"
"198","St._Joseph","IN",457,247052,28.2,14.1,417,927,10637,76.1,19.2,7.1,5.7,17211,4252,"NC"
"334","Dona_Ana","NM",3807,135510,31.4,8.8,171,240,8850,70.4,21.9,20.7,7.4,11379,1542,"W"
"59","Orange","FL",908,677491,33.2,10.6,1367,2929,52577,78.8,21.2,7.8,6.6,17879,12113,"S"
"199","Rockingham","NH",695,245845,29,9.2,343,514,7295,86.2,25.9,3.2,8,21770,5352,"NE"
"318","Okaloosa","FL",936,143776,30.8,9.3,178,482,5153,83.8,21,7.8,6.7,15803,2272,"S"
"360","Pueblo","CO",2389,123051,24.1,15.2,259,555,8640,73.9,14,16.7,7,14197,1747,"W"
"389","Washington","AR",950,113409,32,11.2,208,651,6122,73.2,20,9.8,3.7,14736,1671,"S"
"70","Fulton","GA",529,648951,31.6,10,3368,5757,93025,77.8,31.6,15.4,5.3,22819,14808,"S"
"362","Medina","OH",422,122354,24.5,9.7,125,226,563,82.4,18,4.1,5.8,18892,2312,"NC"
"201","Somerset","NJ",305,240279,28.6,10.8,783,374,8308,86.3,38.3,1.4,4.1,33180,7972,"NE"
"246","Davis","UT",305,187941,26.2,6.1,166,248,6279,89.9,23.5,5.5,4.5,13394,2517,"W"
"371","Delaware","IN",393,119659,32.9,12.7,217,494,1064,74.5,16.5,10.3,6.1,15697,1878,"NC"
"46","DuPage","IL",334,781666,29,8.7,2157,1842,29708,88.6,36,1.7,4.8,26772,20927,"NC"
"176","Cumberland","NC",653,274566,37.4,6.2,291,586,25247,80.3,16.6,12.1,6.4,12923,3548,"S"
"303","Onslow","NC",767,149838,49.7,4.4,104,133,7505,83,13.4,9.8,5.6,10190,1527,"S"
"305","Schenectady","NY",206,149285,26.1,16.5,403,721,6364,80.7,23,5.7,5.6,20679,3087,"NE"
"120","Sedgwick","KS",1000,403662,28.5,11.4,930,1840,34071,82.4,22.2,8.3,4.5,19276,7781,"NC"
"381","Calhoun","AL",609,116034,28.8,12.4,133,486,4901,67.4,14.2,11.7,7.3,13776,1598,"S"
"253","Peoria","IL",620,182827,26,14.2,581,1219,12483,77.9,19.5,11.3,7.2,18342,3353,"NC"
"190","New_London","CT",666,254957,31.2,11.9,486,515,7807,80.9,21.8,4.7,6.8,20259,5165,"NE"
"126","Arapahoe","CO",803,391511,28.3,7.4,583,742,27587,91.5,35.2,4.4,3.9,22507,8812,"W"
"1","Los_Angeles","CA",4060,8863164,32.1,9.7,23677,27700,688936,70,22.3,11.6,8,20786,184230,"W"
"30","Franklin","OH",540,961437,33.5,9.6,2675,4011,82680,81,26.6,9.1,4.2,19040,18306,"NC"
"308","Shasta","CA",3786,147036,22.8,14.1,267,468,7336,78.4,13.7,11,10.3,16277,2393,"W"
"384","Marathon","WI",1545,115400,25.9,12.7,172,254,3655,75.9,13.5,5.5,5.9,16305,1882,"NC"
"115","Wake","NC",834,423380,34.5,7.8,761,1199,26006,85.4,35.3,5.5,3.5,20658,8746,"S"
"274","Calcasieu","LA",1071,168134,26.6,10.9,248,845,6399,70.3,14.7,15.5,7.8,14968,2517,"S"
"72","Norfolk","MA",400,616087,28.8,14.1,2758,1903,14830,88,34.4,3.1,7.5,26909,16578,"NE"
"320","Middlesex","CT",369,143196,28.4,13.1,340,235,3409,82.6,28.2,2.6,5.8,24132,3456,"NE"
"10","Dallas","TX",880,1852810,32.6,8.2,4718,6934,214258,77.1,26.3,10.4,6.1,21001,38911,"S"
"406","Hamilton","IN",398,108936,25.1,8.2,257,122,1699,88.7,36.2,2.6,2.8,25681,2798,"NC"
"288","Weber","UT",576,158330,26,11.1,266,573,9191,82.5,18,7.8,5.7,15301,2423,"W"
"78","Multnomah","OR",435,583887,28.4,13.6,2571,3009,58216,82.9,23.7,8.9,5.1,19215,11219,"W"
"349","Licking","OH",687,128300,26.2,11.8,101,192,1380,76.4,13,8.3,6.3,16412,2106,"NC"
"31","Milwaukee","WI",242,959275,29.3,13.6,2774,4141,73681,76.3,19.3,12.6,4.9,18431,17680,"NC"
"184","Utah","UT",1998,263590,33.9,7,291,544,10605,87.9,26.2,10.6,4.3,11467,3023,"W"
"363","Brazos","TX",586,121862,49.4,6.7,170,279,8203,79.8,35.8,14.9,3.6,12641,1540,"S"
"193","Winnebago","IL",514,252913,26.5,12.7,521,910,19674,76.3,16.7,7.7,7.9,18376,4648,"NC"
"373","Humboldt","CA",3573,119118,27.5,12.3,207,311,5737,80.5,20,12.8,8.8,16138,1922,"W"
"299","Frederick","MD",663,150208,28.7,9.4,172,241,4939,80.4,22,3.5,6,19954,2997,"S"
"167","Hamilton","TN",543,285536,26.3,13.5,738,1573,23532,72.5,19.7,10.2,5.9,18242,5209,"S"
"38","Hillsborough","FL",1051,834054,29.4,12.2,2012,3068,89895,75.6,20.2,9.5,6,16876,14075,"S"
"432","Windham","CT",513,102525,28.5,12.5,123,254,1397,71.1,16.8,6,9.2,18070,1853,"NE"
"96","Union","NJ",103,493819,26.8,15,1362,2541,30299,75.2,25,5.3,6.9,26248,12962,"NE"
"368","Hawaii","HI",4028,120317,22.5,12.6,182,391,7226,77.7,18.5,10.9,4,16728,2013,"W"
"346","McLean","IL",1184,129180,37,10.5,171,588,5949,84.7,29,5.9,4.6,18961,2449,"NC"
"439","Maui","HI",1159,100374,26.2,11.3,192,182,7130,77,17.8,5.7,3.2,18504,1857,"W"
"131","Chester","PA",756,376396,27.1,10.9,594,920,9491,84.9,34.7,3,4.6,24732,9309,"NE"
"422","Robeson","NC",949,105179,26.7,10.7,83,281,4318,57,11,20.7,8.9,10849,1141,"S"
"241","Bell","TX",1059,191088,34.6,8.8,513,572,10865,79.1,17.2,12.2,6.7,13536,2587,"S"
"192","Hinds","MS",869,254441,29.5,11.2,1076,2118,28841,75.2,26.4,16.7,6.3,16215,4126,"S"
"44","Contra_Costa","CA",720,803732,26.5,10.9,1761,1781,51243,86.5,31.6,5.5,5.6,25523,20514,"W"
"97","Ramsey","MN",156,485765,31,12.2,1512,1140,30574,85,28.8,8.1,4.3,20303,9862,"NC"
"150","Lee","FL",804,335113,21.5,24.7,509,1202,18442,76.9,16.4,6.1,6.4,18877,6326,"S"
"194","Oneida","NY",1213,250836,27.7,15.5,437,905,9234,75.1,16.7,8.8,6.7,16477,4133,"NE"
"255","Harford","MD",440,182132,28.8,8.3,247,333,6735,81.6,21.5,4.1,6.7,20941,3814,"S"
"89","Mecklenburg","NC",527,511433,32,9.4,1114,2021,57999,81.6,28.3,7.2,4.8,20942,10710,"S"
"405","Monroe","IN",394,108978,45.8,8.6,172,285,1657,82.1,32.9,9.5,3.7,14266,1555,"NC"
"90","Davidson","TN",502,510784,32.1,11.6,2293,3847,45237,75.9,24.4,10,4.6,19505,9963,"S"
"189","Dutchess","NY",802,259462,29,11.4,535,741,9087,79.8,24.8,3.6,5.1,22173,5753,"NE"
"258","Durham","NC",291,181835,33.7,10.7,1944,1496,15477,78.9,33.4,8.7,3.6,19238,3498,"S"
"109","New_Castle","DE",426,441946,30.6,11.4,1038,1488,27717,80.6,25.2,5,6.2,22284,9848,"NE"
"306","Rock_Island","IL",427,148723,24.9,15,209,769,7154,77.4,15,10.2,7.5,17818,2650,"NC"
"130","Mobile","AL",1233,378643,26.7,11.8,850,1898,30409,70.1,15.5,17.5,7.2,14389,5448,"S"
"144","Guilford","NC",650,347420,30.4,11.9,676,1188,28212,76.1,24.8,7.3,5.4,20349,7070,"S"
"252","McHenry","IL",604,183241,26.3,9.4,160,371,4854,84.5,21,2.5,7.1,21855,4005,"NC"
"234","Washington","PA",857,204584,23.7,17.5,236,687,4526,73.2,13.6,9.7,7,16625,3401,"NE"
"124","Burlington","NJ",805,395066,28.8,10.7,719,1150,13034,81.9,23.6,3.1,5.6,23008,9090,"NE"
"77","Pierce","WA",1676,586203,29.5,10.5,915,1226,41980,83.2,17.5,8.7,6.4,16194,9493,"W"
"136","Stark","OH",576,367585,24.9,14.4,595,1537,17466,76,14.3,8.9,6.9,16898,6211,"NC"
"68","Jefferson","AL",1113,651525,26.7,14,2532,4602,55604,73.8,19.9,12.7,5.3,18624,12134,"S"
"107","Jefferson","LA",306,448306,28.1,10.2,1237,1648,41625,76,18.8,11.4,5.6,17101,7666,"S"
"12","King","WA",2126,1507319,30.1,11.1,5280,4009,124959,88.2,32.8,5,4.6,23779,35843,"W"
"286","Shawnee","KS",550,160976,26.2,13.1,451,661,13845,84.4,22.3,7.4,4.7,19558,3148,"NC"
"173","Sarasota","FL",572,277776,18.2,32.1,631,1363,19801,81.3,21.9,4.6,5.1,24948,6930,"S"
"151","Luzerne","PA",891,328149,24.1,19.7,594,1495,4982,72,13.1,8.3,8.8,16405,5383,"NE"
"6","Kings","NY",71,2300664,28.3,12.4,4861,8942,680966,63.7,16.6,19.5,9.5,16803,38658,"NE"
"287","Muskegon","MI",509,158983,25.8,13,182,660,12181,74.2,11.1,12.4,12,14767,2348,"NC"
"17","Allegheny","PA",730,1336449,26.2,17.4,5281,8436,50186,79,22.6,8.7,5.3,20681,27639,"NE"
"86","Bucks","PA",608,541174,26.6,10.9,879,1435,16894,82.9,24.8,2.9,6.7,22548,12202,"NE"
"226","St._Charles","MO",561,212907,29,6.9,172,613,7785,83.3,21.2,3.5,6.4,18753,3993,"NC"
"427","Fairfield","OH",506,103461,25.2,11.3,86,195,625,78.8,15.5,6.8,6.3,16342,1691,"NC"
"11","Philadelphia","PA",135,1585577,29.1,15.2,6641,10494,109148,64.3,15.2,16.1,8,16721,26512,"NE"
"222","Chatham","GA",440,216935,28.5,12.8,494,1112,18732,73.7,18.6,13.6,4.3,17776,3856,"S"
"237","Marion","FL",1579,194833,21.6,22.1,235,451,14860,69.6,11.5,10.8,8.6,13802,2689,"S"
"326","Outagamie","WI",640,140510,28.2,11.1,228,511,4860,81.5,16.7,4.6,4.9,17182,2414,"NC"
"235","St._Louis","MN",6226,198213,24.3,16.9,406,1391,7518,80.3,17.3,9.7,6.5,15419,3056,"NC"
"230","Montgomery","AL",790,209085,28.4,11.6,419,1102,17388,75.3,24.2,14.1,5.9,17469,3653,"S"
"307","Clark","OH",400,147548,25.3,13.8,173,463,10131,73.4,12.2,10.4,6.5,16676,2461,"NC"
"101","Onondaga","NY",780,468973,29.4,13,1534,1668,23249,80.7,24.4,7.1,5.6,19401,9099,"NE"
"366","Mercer","PA",672,121003,24.5,17.2,150,653,2777,75.1,13.6,10.1,7.2,15177,1836,"NE"
"340","Rapides","LA",1323,131556,26.8,12,246,768,6101,69,14.6,18.6,7.1,14615,1923,"S"
"181","Adams","CO",1192,265038,29.6,7.6,439,318,19369,78.8,13,8.8,5,16116,4271,"W"
"411","Osceola","FL",1322,107728,27.1,13.9,98,291,9665,73.7,11.2,6.9,6.7,16451,1772,"S"
"218","Niagara","NY",523,220756,25.8,15.1,239,893,9437,75.8,13.6,8.6,8.3,16647,3675,"NE"
"387","Lebanon","PA",362,113744,25.3,15,162,196,2919,70,11.8,5.2,5.9,16500,1877,"NE"
"244","McLennan","TX",1042,189123,30,13.6,301,560,16486,71.6,16.6,13.9,6.4,14925,2823,"S"
"74","Oklahoma","OK",709,599611,28.4,12.1,1922,3487,57045,79.1,22.6,11.3,6,17741,10638,"S"
"36","Pinellas","FL",280,851659,22.4,26,1620,4458,62344,78.1,18.5,6.2,6.2,21610,18404,"S"
"171","Pasco","FL",745,281131,18.4,32.3,308,941,12509,66.9,9.1,7.9,8.3,13944,3920,"S"
"13","Santa_Clara","CA",1291,1497577,32.6,8.7,4101,3342,77009,82,32.6,5,5.5,25193,37728,"W"
"337","Webb","TX",3357,133239,28.5,7.9,107,382,12202,47.8,11.1,33.1,9.8,8973,1196,"S"
"325","Yolo","CA",1012,141092,36.5,9.6,339,168,10650,79.1,30.3,9.8,7.2,19727,2783,"W"
"301","St._Lucie","FL",573,150171,22.9,21,176,425,9842,71.7,13.1,8.5,13.8,14137,2123,"S"
"145","Solano","CA",828,340421,29.7,8.2,481,503,21756,82.7,18.7,6,7,17268,5878,"W"
"440","Morgan","AL",582,100043,26.3,11.7,122,464,4693,69.4,15.5,9.4,7.1,16458,1647,"S"
"53","San_Francisco","CA",47,723959,32.2,14.5,4761,3640,71234,78,35,9.7,5.6,28532,20656,"W"
"103","Snohomish","WA",2090,465642,28.1,9.5,502,672,20323,85.7,19.3,4.9,5.6,18545,8635,"W"
"296","Chesapeake_City","VA",341,151976,28.6,8.4,212,210,8427,77.1,16.9,7,6.1,16924,2572,"S"
"313","St._Clair","MI",725,145607,25.9,12.3,143,431,6568,74.8,10.7,9.2,11.8,17480,2545,"NC"
"23","Riverside","CA",7208,1170413,27.9,13.2,1385,2435,95494,74.1,14.6,8.4,10.7,17185,20114,"W"
"338","Weld","CO",3993,131821,29.6,10.2,172,281,7901,74.9,18.4,10.6,4.5,15874,2093,"W"
"300","Clermont","OH",452,150187,28.1,8.7,82,151,5114,72.8,14.5,7.4,6,16231,2438,"NC"
"229","Manatee","FL",741,211707,21,28.1,322,855,16916,75.6,15.5,6.8,5.8,17997,3810,"S"
"383","Livingston","MI",568,115645,25.3,8.2,68,93,3760,85.6,19.6,3,8.1,21153,2446,"NC"
"365","Franklin","PA",772,121082,25.5,14.4,136,296,3155,69.4,12.4,5.7,6.7,16281,1971,"NE"
"414","La_Salle","IL",1135,106913,23.8,17.2,104,504,2982,73.1,10.5,8.7,9.6,16119,1723,"NC"
"92","Tulsa","OK",570,503341,28.2,11.5,1158,2512,39496,81.7,23.7,10,6.1,19295,9712,"S"
"284","Thurston","WA",727,161238,25.3,11.7,283,500,7882,86.5,24.7,7.1,5.9,17312,2791,"W"
"377","Rutherford","TN",619,118570,33.1,8.4,133,215,6072,73.9,18.7,7.6,5.4,15501,1838,"S"
"386","Florence","SC",799,114344,26.2,11.2,211,731,8421,64.3,14.8,15.9,5.9,14961,1711,"S"
"280","York","ME",991,164587,26.4,12.6,172,404,6027,79.5,19,4.7,6.9,17908,2947,"NE"
"283","Berrien","MI",571,161378,25.2,13.7,199,688,12229,74.7,16.7,11.6,9.1,16232,2619,"NC"
"250","Larimer","CO",2601,186136,32.1,9.6,278,409,8921,88.6,32.3,6.6,4.1,17140,3190,"W"
"430","Sumter","SC",666,102637,31.6,9.4,88,214,7138,69.8,15,16.9,9.4,11803,1211,"S"
"158","Waukesha","WI",556,304715,24.4,9.8,687,677,8935,88,27.1,2.2,4.1,23004,7010,"NC"
"423","Gregg","TX",274,104948,26.4,13.3,166,420,9181,75.8,17.7,13.4,8.2,16775,1761,"S"
"64","Fresno","CA",5963,667490,28.3,10.4,1188,1681,62004,66.2,16.9,16.8,12.6,16365,10923,"W"
"297","Smith","TX",929,151309,26.2,13.7,349,795,11712,75.7,19.8,12.6,6.6,17511,2650,"S"
"322","Ouachita","LA",611,142191,28.3,11.2,268,1043,10605,71.6,18.9,19.6,6.4,13869,1972,"S"
"102","Denver","CO",153,467610,30.3,13.8,2867,3652,37466,79.2,29,13.1,5.4,22156,10360,"W"
"26","Sacramento","CA",966,1041219,29.7,10.6,2464,2855,84305,82.2,23,9.8,6.3,18934,19714,"W"
"266","Buncombe","NC",656,174821,24.8,16.1,469,725,9512,74.5,19.1,8.2,4.9,16934,2960,"S"
"426","Sheboygan","WI",514,103877,25.4,14.6,114,421,4433,77.4,13.8,4.5,5.6,18061,1876,"NC"
"205","Dauphin","PA",525,237813,26.8,14.3,824,1425,11563,77.6,18.6,7.2,5.5,18348,4363,"NE"
"203","Madison","AL",805,238912,31.4,8.9,399,933,6635,80.2,30.1,8.4,5.2,18990,4537,"S"
"3","Harris","TX",1729,2818199,31.3,7.1,7553,12449,253526,74.9,25.4,12.5,5.7,19517,55003,"S"
"121","Brevard","FL",1019,398978,26.2,16.6,563,1085,23686,82.3,20.4,6.3,7.1,17668,7049,"S"
"33","Hamilton","OH",407,866228,28,13.3,3164,4683,57208,75.6,23.7,10.3,4.5,20580,17827,"NC"
"179","Forsyth","NC",410,265878,29.2,12.3,1194,1609,21554,77.6,24.1,7.8,4.4,20645,5489,"S"
"278","Vanderburgh","IN",235,165058,27,15.7,411,1376,8405,75.2,16,9.1,5.7,18093,2986,"NC"
"310","Hampshire","MA",529,146568,38.2,11.6,348,236,2547,83,31.9,5.7,7.7,17853,2617,"NE"
"232","Kanawha","WV",903,207619,23.9,15.7,569,1342,10246,72.4,17.6,12.3,7.5,17192,3569,"S"
"187","Norfolk_City","VA",54,261229,41.7,10.5,1101,1471,25194,72.7,16.8,15.1,6.4,16412,4287,"S"
"119","Polk","FL",1875,405382,23.9,18.6,559,1288,37290,68,12.9,9.4,10.1,14835,6014,"S"
"99","Bernalillo","NM",1166,480577,29.2,10.5,1585,1726,41280,82.1,26.7,10.9,5.2,17518,8419,"W"
"129","East_Baton_Rouge","LA",456,380105,31.5,9.2,841,1876,41592,80.5,27.5,15.1,5.4,17881,6797,"S"
"207","Gloucester","NJ",325,230082,28,10.8,199,339,9746,77.5,18.1,4.7,7.1,18523,4262,"NE"
"56","Worcester","MA",1513,709705,29.2,13.7,1902,2205,7099,77.4,22.2,6.3,10.2,19895,14120,"NE"
"172","Clackamas","OR",1868,278850,23.1,11.5,462,345,12855,85.7,23.6,4.7,4.2,19942,5561,"W"
"321","Portage","OH",492,142585,33.6,9.4,101,285,2769,79.3,17.6,7.6,6,16031,2286,"NC"
"390","Wood","OH",617,113269,34.5,10.2,128,124,3759,83.8,21.9,5,6.6,17522,1985,"NC"
"183","Collin","TX",848,264036,29.8,5.3,282,571,17625,88.3,39.1,3.9,5.9,22303,5889,"S"
"211","Spartanburg","SC",811,226800,27,12.6,375,832,17198,63,14.3,8.8,5.5,15776,3578,"S"
"132","Volusia","FL",1106,370712,24.3,22.8,495,1349,25736,75.4,14.8,7.9,6.9,15648,5801,"S"
"412","Yavapai","AZ",8124,107714,18.3,23.8,114,159,3952,78.9,17.7,9.8,5.4,13681,1474,"W"
"93","Camden","NJ",222,502824,27.5,12.2,1255,2041,34814,75.5,21,8,6.9,19930,10021,"NE"
"114","Anne_Arundel","MD",416,427239,29.6,8.8,616,617,21826,81.1,24.6,3,5,22797,9740,"S"
"85","Kern","CA",8142,543477,28.3,9.7,682,1194,36318,67.6,13.3,13.7,11.8,15881,8631,"W"
"431","Sarpy","NE",241,102583,30.4,4.8,39,160,2689,91,25.4,3.5,2.6,16137,1655,"NC"
"324","Chautauqua","NY",1062,141895,25.7,15.7,164,653,5178,74.4,14.2,9.9,7.7,15197,2156,"NE"
"344","Tippecanoe","IN",500,130598,42.3,9.5,232,635,6141,85.2,30.7,6.8,3.2,15847,2070,"NC"
